"common_name","code","sci_name","code6","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","Family","Order","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Diet.FruitSeed","Pollinator","SeedDisperser","Insectivore"
"Double-crested Cormorant","DCCO","Nannopterum auritum","NANAUR","Nonpasseriformes","Suliformes","Phalacrocoracidae","Cormorants",32,"BL3","Double-crested Cormorant",0,0,0,100,0,0,0,0,0,0,"VertFishScav",100,0,0,0,0,0,0,0,1,0,"Phalacrocoracidae","Suliformes",4,0,3,1,4,68.2,49.8,12,17,64.2,311.8,126.8,185,40.8,154.2,1806.5,"Marine",3,2,"Carnivore","Aquatic predator","Aquatic",0,0,0,0
"Downy Woodpecker","DOWO","Dryobates pubescens","DRYPUB","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Downy Woodpecker",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,0,20,40,40,0,0,1,0,"Picidae","Piciformes",11,5,6,0,5,17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,25.6,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Dusky Flycatcher","DUFL","Empidonax oberholseri","EMPOBE","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","American Dusky Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,20,80,0,0,0,0,1,0,"Tyrannidae","Passeriformes",4,2,2,0,4,13.5,7.8,4.6,3.2,17.5,66.6,12.5,54.1,18.7,60.6,10.4,"Forest",2,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Eared Grebe","EAGR","Podiceps nigricollis","PODNIG","Nonpasseriformes","Podicipediformes","Podicipedidae","Grebes",21,"BL3","Black-necked Grebe",80,0,10,10,0,0,0,0,0,0,"Invertebrate",60,40,0,0,0,0,0,0,1,0,"Podicipedidae","Podicipediformes",5,2,2,1,4,26.2,15.4,5.5,5.9,39.6,127.2,55.1,70.1,44,28,412.4,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",0,0,0,0
"Eastern Phoebe","EAPH","Sayornis phoebe","SAYPHO","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Eastern Phoebe",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,0,50,50,0,0,0,1,0,"Tyrannidae","Passeriformes",5,2,3,0,4,17.4,9.7,5.5,4.1,17.7,83.9,17.4,66.7,20.6,70.1,19.7,"Forest",2,3,"Carnivore","Invertivore","Insessorial",10,0,0,1
"Eurasian Collared-Dove","EUCD","Streptopelia decaocto","STRDEC","Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Eurasian Collared-dove",10,0,0,0,0,0,30,0,40,20,"PlantSeed",0,0,80,10,10,0,0,0,1,0,"Columbidae","Columbiformes",14,5,6,3,8,21.5,9.6,3.8,4.2,22.1,174.6,62.7,111.2,36.1,132.3,149,"Human Modified",3,1,"Herbivore","Omnivore","Terrestrial",70,0,1,0
"European Starling","EUST","Sturnus vulgaris","STUVUL","Passeriformes","Passeriformes","Sturnidae","Starlings",177,"BL3","Common Starling",20,0,10,0,0,10,30,10,20,0,"Omnivore",0,0,80,20,0,0,0,0,1,0,"Sturnidae","Passeriformes",28,11,17,0,10,30.2,18.5,6.6,6.5,29,128.3,49.2,79.1,38.4,65.8,77.1,"Human Modified",3,2,"Omnivore","Omnivore","Insessorial",50,0,1,0
"Ferruginous Hawk","FEHA","Buteo regalis","BUTREG","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Ferruginous Hawk",0,100,0,0,0,0,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Accipitridae","Accipitriformes",5,2,3,0,4,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,"Grassland",3,3,"Carnivore","Vertivore","Generalist",0,0,0,0
"Franklin's Gull","FRGU","Leucophaeus pipixcan","LEUPIP","Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Franklin's Gull",40,10,0,10,0,0,0,0,20,20,"Omnivore",0,30,40,30,0,0,0,0,1,0,"Laridae","Charadriiformes",5,2,3,0,4,39.8,15,4.6,8.6,39.9,279.4,154.5,123,55.6,95.2,280,"Coastal",3,3,"Omnivore","Omnivore","Generalist",20,0,0,0
"Gadwall","GADW","Mareca strepera","MARSTR","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Gadwall",0,0,0,0,0,0,0,0,30,70,"PlantSeed",0,80,20,0,0,0,0,0,1,0,"Anatidae","Anseriformes",6,3,3,0,4,48.7,34.7,16.5,13.7,36.5,251.3,137,113,54.8,83,915.6,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",30,0,1,0
