"common_name","code","sci_name","code6","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","Family","Order","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Diet.FruitSeed","Pollinator","SeedDisperser","Insectivore"
"House Finch","HOFI","Haemorhous mexicanus","HAEMEX","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","House Finch",10,0,0,0,0,0,30,0,30,30,"PlantSeed",0,0,33,33,33,0,0,0,1,0,"Fringillidae","Passeriformes",5,2,3,0,4,10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,"Shrubland",2,2,"Herbivore","Granivore","Insessorial",60,0,1,0
"House Sparrow","HOSP","Passer domesticus","PASDOM","Passeriformes","Passeriformes","Passeridae","Sparrows, snowfinches and allies",183,"BL3","House Sparrow",10,0,0,0,0,0,0,0,60,30,"PlantSeed",0,0,50,50,0,0,0,0,1,0,"Passeridae","Passeriformes",25,12,13,0,8,13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,"Human Modified",3,1,"Herbivore","Granivore","Terrestrial",60,0,1,0
"House Wren","HOWR","Troglodytes aedon","TROAED","Passeriformes","Passeriformes","Troglodytidae","Wrens",162,"BL3","House Wren",80,0,0,0,0,0,0,0,0,20,"Invertebrate",0,0,0,100,0,0,0,0,1,0,"Troglodytidae","Passeriformes",104,12,20,72,26,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,"Shrubland",3,1,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Inca Dove","INDO","Columbina inca","COLINC","Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Inca Dove",0,0,0,0,0,0,20,0,80,0,"PlantSeed",0,0,100,0,0,0,0,0,1,0,"Columbidae","Columbiformes",10,4,5,1,4,16.1,7.1,3.5,3.8,15.5,92.5,24.2,69,26,88.7,47.5,"Human Modified",3,1,"Herbivore","Granivore","Terrestrial",100,0,1,0
"Island Canary","ISCA","Serinus canaria","SERCAN","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","Island Canary",10,0,0,0,0,0,10,0,70,10,"PlantSeed",0,0,80,20,0,0,0,0,1,0,"Fringillidae","Passeriformes",7,3,4,0,4,12,7.1,5.1,6.6,16.6,71.4,19.8,51.5,27.7,58.3,24.3,"Woodland",2,1,"Herbivore","Granivore","Generalist",80,0,1,0
"Killdeer","KILL","Charadrius vociferus","CHAVOC","Nonpasseriformes","Charadriiformes","Charadriidae","Plovers",54,"BL3","Killdeer",90,0,0,0,0,0,0,0,10,0,"Invertebrate",0,0,100,0,0,0,0,0,1,0,"Charadriidae","Charadriiformes",4,2,2,0,4,21.5,13.1,3.5,4.2,34.4,158.8,83.5,75.2,52.6,85.8,96.4,"Wetland",3,3,"Carnivore","Omnivore","Terrestrial",10,0,0,1
"Ladder-backed Woodpecker","LBWO","Dryobates scalaris","DRYSCA","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Strickland's Woodpecker",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,0,50,50,0,0,0,1,0,"Picidae","Piciformes",4,2,2,0,3,19,13.8,6.9,6.3,17.8,96.8,23.8,73,24.6,58.2,31.6,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Lark Bunting","LARB","Calamospiza melanocorys","CALMEC","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Lark Bunting",30,0,0,0,0,0,10,0,60,0,"PlantSeed",0,0,50,10,10,20,10,0,1,0,"Passerellidae","Passeriformes",5,2,3,0,4,17.6,10.6,6.5,9,24,86.6,20.9,64.9,24.3,64.5,37.6,"Grassland",3,3,"Omnivore","Omnivore","Generalist",70,0,1,1
"Lark Sparrow","LASP","Chondestes grammacus","CHOGRA","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Lark Sparrow",30,0,0,0,0,0,0,0,70,0,"PlantSeed",0,0,80,10,10,0,0,0,1,0,"Passerellidae","Passeriformes",5,2,3,0,4,15.1,9.7,5.1,7.1,20.1,85.5,24.7,60.9,28.8,64.3,29,"Shrubland",3,2,"Herbivore","Granivore","Generalist",70,0,1,1
"Lawrence's Goldfinch","LAGO","Spinus lawrencei","SPILAW","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","Lawrence's Goldfinch",0,0,0,0,0,0,10,0,90,0,"PlantSeed",0,0,60,20,20,0,0,0,1,0,"Fringillidae","Passeriformes",5,2,3,0,4,10.2,6.4,4.2,5.6,13.1,65,18.9,46.3,29,47.5,10.9,"Forest",2,3,"Herbivore","Granivore","Terrestrial",100,0,1,0
"Lazuli Bunting","LAZB","Passerina amoena","PASAMO","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Lazuli Bunting",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,50,50,0,0,0,0,1,0,"Cardinalidae","Passeriformes",18,7,11,0,11,11.8,7.3,4.8,6.1,16.8,70.4,16.5,53.9,23.4,54.2,15.5,"Shrubland",2,3,"Herbivore","Omnivore","Insessorial",50,0,1,1
"Least Bittern","LEBI","Ixobrychus exilis","IXOEXI","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Least Bittern",30,0,10,60,0,0,0,0,0,0,"VertFishScav",0,50,50,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",6,3,3,0,4,47.8,34.7,5.5,7.8,37.9,107.8,30.6,75,29,40.8,86.3,"Wetland",1,2,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Least Sandpiper","LESA","Calidris minutilla","CALMIL","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Least Sandpiper",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,20,80,0,0,0,0,0,1,0,"Scolopacidae","Charadriiformes",5,2,3,0,4,20.3,15.1,2.4,3.2,18.4,86.4,32.1,53.1,37.7,39.2,22.9,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Lesser Goldfinch","LEGO","Spinus psaltria","SPIPSA","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","Lesser Goldfinch",10,0,0,0,0,0,30,0,30,30,"PlantSeed",0,0,20,40,40,0,0,0,1,0,"Fringillidae","Passeriformes",40,11,24,5,8,10.2,7.8,4.7,6.3,12.4,60.9,16.2,46.2,26,40.4,8.8,"Shrubland",2,1,"Herbivore","Granivore","Insessorial",60,0,1,0
"Lesser Nighthawk","LENI","Chordeiles acutipennis","CHOACU","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",75,"BL3","Lesser Nighthawk",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,20,70,0,10,0,1,1,"Caprimulgidae","Caprimulgiformes",7,1,4,2,4,8.5,4.2,3.5,2.4,11.7,164.8,92.5,75,55.1,100.6,48.4,"Shrubland",2,2,"Carnivore","Invertivore","Aerial",0,0,0,1
"Lesser Scaup","LESC","Aythya affinis","AYTAFF","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Lesser Scaup",20,0,0,0,0,0,0,0,30,50,"PlantSeed",100,0,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",5,2,2,1,4,47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,"Wetland",3,3,"Omnivore","Aquatic predator","Aquatic",30,0,1,0
"Lesser Yellowlegs","LEYE","Tringa flavipes","TRIFLA","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Lesser Yellowlegs",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,50,50,0,0,0,0,0,1,0,"Scolopacidae","Charadriiformes",5,2,3,0,4,41.4,30.6,2.9,4,49.6,152.6,79.8,71.5,52.8,65.6,77.5,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Lewis's Woodpecker","LEWO","Melanerpes lewis","MELLEW","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Lewis's Woodpecker",60,0,0,0,0,0,0,20,20,0,"Invertebrate",0,0,0,50,50,0,0,0,1,0,"Picidae","Piciformes",5,2,3,0,4,30.4,22.8,7.4,7,24.1,166.8,52,114,31.4,98.8,105.8,"Woodland",2,3,"Omnivore","Invertivore","Insessorial",20,0,0,1
"Lincoln's Sparrow","LISP","Melospiza lincolnii","MELLIN","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Lincoln's Sparrow",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,100,0,0,0,0,0,1,0,"Passerellidae","Passeriformes",4,2,2,0,4,13.2,8,4,5.1,20.1,64,14.3,49.7,22.3,56.8,16.6,"Wetland",2,3,"Omnivore","Omnivore","Generalist",50,0,1,1
"Little Blue Heron","LBHE","Egretta caerulea","EGRCAE","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Little Blue Heron",60,0,30,10,0,0,0,0,0,0,"Invertebrate",0,100,0,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",11,2,7,2,10,78.1,60.6,9.5,12.6,92,257.8,98.3,160.2,38,88,338.6,"Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Loggerhead Shrike","LOSH","Lanius ludovicianus","LANLUD","Passeriformes","Passeriformes","Laniidae","Shrikes",140,"BL3","Loggerhead Shrike",70,10,10,0,0,10,0,0,0,0,"Invertebrate",0,0,80,10,10,0,0,0,1,0,"Laniidae","Passeriformes",11,2,9,0,4,21.1,12.3,6.5,8.8,27.7,96.4,21.7,74.2,22.6,96.7,51.6,"Shrubland",3,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Long-billed Curlew","LBCU","Numenius americanus","NUMAME","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Long-billed Curlew",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,20,80,0,0,0,0,0,1,0,"Scolopacidae","Charadriiformes",4,2,2,0,4,164,141.5,7.6,8.9,84.5,266.8,132.6,134.2,49.7,94.8,583.9,"Grassland",3,3,"Carnivore","Omnivore","Terrestrial",10,0,0,0
"Long-billed Dowitcher","LBDO","Limnodromus scolopaceus","LIMSCO","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Long-billed Dowitcher",60,0,0,0,0,0,0,0,20,20,"Invertebrate",0,50,50,0,0,0,0,0,1,0,"Scolopacidae","Charadriiformes",4,2,2,0,4,70.7,61.9,4.5,7.1,38.6,145.5,74.2,71.2,51,56.5,104.4,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",20,0,0,0
"Long-eared Owl","LEOW","Asio otus","ASIOTU","Nonpasseriformes","Strigiformes","Strigidae","Owls",71,"BL3","Long-eared Owl",0,100,0,0,0,0,0,0,0,0,"VertFishScav",0,0,80,10,10,0,0,0,1,1,"Strigidae","Strigiformes",11,9,2,0,6,28.3,14.9,8.8,12.5,40.1,280.7,115.5,165.2,41.2,137,296.6,"Forest",2,2,"Carnivore","Vertivore","Aerial",0,0,0,0
"Lucy's Warbler","LUWA","Leiothlypis luciae","LEILUC","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Lucy's Warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,20,80,0,0,0,1,0,"Parulidae","Passeriformes",5,2,3,0,4,10.5,6.8,3,3.4,16.3,55.6,13.2,42.4,23.7,43.4,6.6,"Forest",2,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"MacGillivray's Warbler","MGWA","Geothlypis tolmiei","GEOTOL","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","MacGillivray's Warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0,1,0,"Parulidae","Passeriformes",11,5,6,0,10,13.4,7.7,3,3.3,20.9,58.1,13.2,44.5,22.9,52.9,10.4,"Forest",1,3,"Carnivore","Invertivore","Generalist",0,0,0,1
"Magnolia Warbler","MAWA","Setophaga magnolia","SETMAG","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Magnolia Warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,20,80,0,0,0,1,0,"Parulidae","Passeriformes",24,10,8,6,5,12.1,7.1,3.1,3.1,18.2,58.4,12.6,46.9,21.1,46.5,8.1,"Forest",1,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Mallard","MALL","Anas platyrhynchos","ANAPLA","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Mallard",40,0,10,10,0,0,0,0,20,20,"Omnivore",20,60,20,0,0,0,0,0,1,0,"Anatidae","Anseriformes",12,6,6,0,4,58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",20,0,0,0
"Marsh Wren","MAWR","Cistothorus palustris","CISPAL","Passeriformes","Passeriformes","Troglodytidae","Wrens",162,"BL3","Marsh Wren",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,100,0,0,0,0,1,0,"Troglodytidae","Passeriformes",4,2,2,0,4,16,9.9,2.7,3.4,19.2,48.4,9.7,38.7,20,39.5,10.8,"Wetland",3,2,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Merlin","MERL","Falco columbarius","FALCOL","Nonpasseriformes","Falconiformes","Falconidae","Falcons and caracaras",35,"BL3","Merlin",20,80,0,0,0,0,0,0,0,0,"VertFishScav",0,0,0,33,33,0,33,0,1,0,"Falconidae","Falconiformes",5,2,3,0,4,16.6,11.8,8,10.5,34.3,199.6,98.8,103.5,48.9,116.6,188.5,"Woodland",3,3,"Carnivore","Vertivore","Aerial",0,0,0,0
"Monk Parakeet","MOPA","Myiopsitta monachus","MYIMON","Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Monk Parakeet",10,0,0,0,0,0,30,0,30,30,"PlantSeed",0,0,20,20,40,20,0,0,1,0,"Psittacidae","Psittaciformes",9,3,6,0,8,22.4,19.3,12.8,19.5,15.8,147.2,64.4,82.8,43.8,141.4,120,"Human Modified",2,1,"Herbivore","Omnivore","Insessorial",60,0,1,0
"Mountain Bluebird","MOBL","Sialia currucoides","SIACUR","Passeriformes","Passeriformes","Turdidae","Thrushes",178,"BL3","Mountain Bluebird",60,0,0,0,0,0,30,0,10,0,"Invertebrate",0,0,100,0,0,0,0,0,1,0,"Turdidae","Passeriformes",5,1,4,0,4,16.4,9.6,3.9,3.9,21.9,114,41,71.2,36.6,70,29.6,"Grassland",3,3,"Omnivore","Invertivore","Insessorial",40,0,1,1
"Mountain Chickadee","MOCH","Poecile gambeli","POEGAM","Passeriformes","Passeriformes","Paridae","Tits and chickadees",154,"BL3","Mountain Chickadee",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,0,20,80,0,0,0,1,0,"Paridae","Passeriformes",4,2,2,0,4,11.8,8.9,3.4,3.8,18.1,68.8,13.2,55.5,19.2,59.5,11.2,"Forest",1,1,"Omnivore","Invertivore","Insessorial",40,0,1,1
"Mourning Dove","MODO","Zenaida macroura","ZENMAC","Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Mourning Dove",0,0,0,0,0,0,0,0,90,10,"PlantSeed",0,0,60,40,0,0,0,0,1,0,"Columbidae","Columbiformes",15,5,7,3,6,19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Human Modified",3,1,"Herbivore","Granivore","Terrestrial",90,0,1,0
"Nashville Warbler","NAWA","Leiothlypis ruficapilla","LEIRUF","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Nashville Warbler",80,0,0,0,0,0,10,10,0,0,"Invertebrate",0,0,0,40,40,20,0,0,1,0,"Parulidae","Passeriformes",5,2,3,0,4,11.6,7,2.8,3.5,16.1,56.8,13.3,43.4,23.6,42.4,8.1,"Forest",1,3,"Carnivore","Invertivore","Insessorial",10,0,0,1
"Neotropic Cormorant","NECO","Nannopterum brasilianum","NANBRA","Nonpasseriformes","Suliformes","Phalacrocoracidae","Cormorants",32,"BL3","Neotropic Cormorant",30,0,20,50,0,0,0,0,0,0,"VertFishScav",100,0,0,0,0,0,0,0,1,0,"Phalacrocoracidae","Suliformes",10,4,5,1,2,62.6,44.6,11.9,14.9,48.7,275.4,91.8,191.7,32.4,187.2,1239.3,"Wetland",3,1,"Carnivore","Aquatic predator","Generalist",0,0,0,0
"Northern Cardinal","NOCA","Cardinalis cardinalis","CARCAI","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",194,"BL3","Northern Cardinal",20,0,0,0,0,0,10,0,0,70,"PlantSeed",0,0,40,20,20,20,0,0,1,0,"Cardinalidae","Passeriformes",64,24,40,0,8,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,"Shrubland",2,1,"Herbivore","Omnivore","Insessorial",10,0,0,0
"Northern Flicker","NOFL","Colaptes auratus","COLAUT","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Northern Flicker",70,0,0,0,0,0,20,0,10,0,"Invertebrate",0,0,100,0,0,0,0,0,1,0,"Picidae","Piciformes",30,15,15,0,24,40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,"Shrubland",2,2,"Carnivore","Invertivore","Generalist",30,0,1,1
"Northern Harrier","NOHA","Circus hudsonius","CIRHUD","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Northern Harrier",10,70,10,0,0,10,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Accipitridae","Accipitriformes",4,2,2,0,4,31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.7,212.9,393,"Grassland",3,3,"Carnivore","Vertivore","Aerial",0,0,0,0
"Northern Mockingbird","NOMO","Mimus polyglottos","MIMPOL","Passeriformes","Passeriformes","Mimidae","Mockingbirds and thrashers",175,"BL3","Northern Mockingbird",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,70,30,0,0,0,0,1,0,"Mimidae","Passeriformes",12,5,7,0,4,22.1,12.2,4.6,5.3,32.2,112.3,23.1,90.5,20.6,117.6,48.5,"Shrubland",2,3,"Omnivore","Omnivore","Generalist",50,0,1,1
"Northern Parula","NOPA","Setophaga americana","SETAME","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Northern Parula",70,0,0,0,0,0,10,10,10,0,"Invertebrate",0,0,0,0,20,80,0,0,1,0,"Parulidae","Passeriformes",19,5,14,0,7,11.6,7.6,3.1,3.1,16.9,57.6,15.5,39.9,28.1,44.1,7.8,"Forest",2,3,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Northern Pintail","NOPI","Anas acuta","ANAACU","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Northern Pintail",20,0,0,0,10,0,0,0,20,50,"PlantSeed",0,70,30,0,0,0,0,0,1,0,"Anatidae","Anseriformes",10,5,5,0,4,48.1,31.9,14.5,14.8,36.9,256.7,148.4,107.8,57.8,124.7,944.6,"Wetland",3,3,"Herbivore","Herbivore aquatic","Aquatic",20,0,0,0
"Northern Rough-winged Swallow","NRWS","Stelgidopteryx serripennis","STESER","Passeriformes","Passeriformes","Hirundinidae","Swallows and martins",156,"BL3","Northern Rough-winged Swallow",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,30,70,0,0,0,0,1,0,"Hirundinidae","Passeriformes",22,10,8,4,6,10.4,4.8,3.4,2.5,11.1,107.2,54.7,53.1,50.7,47.6,15.7,"Shrubland",3,3,"Carnivore","Invertivore","Aerial",0,0,0,1
"Northern Shoveler","NSHO","Spatula clypeata","SPACLY","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Northern Shoveler",60,0,0,0,0,0,0,0,20,20,"Invertebrate",20,80,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",8,4,4,0,4,68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,58,75.1,612.6,"Wetland",3,3,"Omnivore","Aquatic predator","Aquatic",20,0,0,0
"Orange-crowned Warbler","OCWA","Leiothlypis celata","LEICEL","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Orange-crowned Warbler",70,0,0,0,0,0,20,10,0,0,"Invertebrate",0,0,0,50,50,0,0,0,1,0,"Parulidae","Passeriformes",4,1,3,0,4,11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.2,"Shrubland",1,3,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Osprey","OSPR","Pandion haliaetus","PANHAL","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Osprey",0,0,0,100,0,0,0,0,0,0,"VertFishScav",40,60,0,0,0,0,0,0,1,0,"Pandionidae","Accipitriformes",12,5,4,3,8,47,27.7,17.3,19.6,49.8,468.4,204.8,253,44.9,201.3,1483.2,"Marine",3,3,"Carnivore","Aquatic predator","Aerial",0,0,0,0
"Ovenbird","OVEN","Seiurus aurocapilla","SEIAUR","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Ovenbird",70,0,10,0,0,0,10,0,10,0,"Invertebrate",0,0,80,20,0,0,0,0,1,0,"Parulidae","Passeriformes",21,5,8,8,4,15.1,8.9,3.6,4.1,22.3,73.2,18.3,55.1,24.9,50.4,18.8,"Forest",1,3,"Carnivore","Invertivore","Terrestrial",20,0,0,1
"Pacific Wren","PAWR","Troglodytes pacificus","TROPAC","Passeriformes","Passeriformes","Troglodytidae","Wrens",162,"BL3","Pacific Wren",60,0,10,10,0,0,10,0,10,0,"Invertebrate",0,0,50,50,0,0,0,0,1,0,"Troglodytidae","Passeriformes",3,1,2,0,1,11.8,8.1,2,2.5,17.4,44.2,8.4,35.8,19,30.1,9.4,"Forest",1,3,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Peregrine Falcon","PEFA","Falco peregrinus","FALPER","Nonpasseriformes","Falconiformes","Falconidae","Falcons and caracaras",35,"BL3","Peregrine Falcon",10,80,10,0,0,0,0,0,0,0,"VertFishScav",0,0,20,20,20,20,20,0,1,0,"Falconidae","Falconiformes",18,7,8,3,8,31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,"Grassland",3,2,"Carnivore","Vertivore","Aerial",0,0,0,0
"Phainopepla","PHAI","Phainopepla nitens","PHANIT","Passeriformes","Passeriformes","Bombycillidae","Waxwings",152,"BL3","Phainopepla",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,0,40,40,0,20,0,1,0,"Ptiliogonatidae","Passeriformes",112,47,64,1,4,13.4,8.1,5,4.1,20.9,92.6,16.6,81.9,16.9,92.7,22.1,"Shrubland",2,1,"Omnivore","Frugivore","Insessorial",60,0,1,1
"Pied-billed Grebe","PBGR","Podilymbus podiceps","PODPOD","Nonpasseriformes","Podicipediformes","Podicipedidae","Grebes",21,"BL3","Pied-billed Grebe",70,0,10,20,0,0,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,1,0,"Podicipedidae","Podicipediformes",8,2,2,4,4,28.8,14.1,5.4,10.6,37.1,125.6,41.8,81.1,34,32.6,411.9,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",0,0,0,0
"Pine Siskin","PISI","Spinus pinus","SPIPIN","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","Pine Siskin",10,0,0,0,0,0,10,0,70,10,"PlantSeed",0,0,50,0,50,0,0,0,1,0,"Fringillidae","Passeriformes",5,2,3,0,4,14,9,4.3,5.5,13.9,72.4,25.6,47,35.2,48.3,12.7,"Forest",1,1,"Herbivore","Granivore","Insessorial",80,0,1,0
"Plumbeous Vireo","PLVI","Vireo plumbeus","VIRPLU","Passeriformes","Passeriformes","Vireonidae","Vireos and allies",141,"BL3","Plumbeous Vireo",70,0,0,0,0,0,30,0,0,0,"Invertebrate",0,0,0,20,40,40,0,0,NA,NA,"Vireonidae","Passeriformes",18,5,12,1,4,14.8,7.8,4.2,4.9,19.1,77,22.7,56.6,28.6,56.7,16.4,"Forest",2,3,"Carnivore","Invertivore","Insessorial",30,0,1,1
"Prairie Falcon","PRFA","Falco mexicanus","FALMEX","Nonpasseriformes","Falconiformes","Falconidae","Falcons and caracaras",35,"BL3","Prairie Falcon",0,100,0,0,0,0,0,0,0,0,"VertFishScav",0,0,70,20,10,0,0,0,1,0,"Falconidae","Falconiformes",5,2,3,0,4,31.1,20,13.8,16.5,55.6,325,166,163.2,50.5,188.4,713.1,"Grassland",3,3,"Carnivore","Vertivore","Aerial",0,0,0,0
"Purple Martin","PUMA","Progne subis","PROSUB","Passeriformes","Passeriformes","Hirundinidae","Swallows and martins",156,"BL3","Purple Martin",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,20,20,20,20,20,0,1,0,"Hirundinidae","Passeriformes",9,4,5,0,4,16.8,9.4,5.9,4.8,15,147.2,76.6,70.7,52,72.4,53.8,"Forest",2,1,"Carnivore","Invertivore","Aerial",0,0,0,1
"Pyrrhuloxia","PYRR","Cardinalis sinuatus","CARSIN","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",194,"BL3","Pyrrhuloxia",30,0,0,0,0,0,0,0,70,0,"PlantSeed",0,0,60,20,10,10,0,0,1,0,"Cardinalidae","Passeriformes",10,5,5,0,6,15.3,10.3,7.3,12.6,24.4,93.3,13.9,79.4,14.9,103.2,35.2,"Shrubland",2,1,"Herbivore","Omnivore","Generalist",70,0,1,1
"Red-naped Sapsucker","RNSA","Sphyrapicus nuchalis","SPHNUC","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Red-naped Sapsucker",50,0,0,0,0,0,10,30,10,0,"Omnivore",0,0,0,20,40,40,0,0,1,0,"Picidae","Piciformes",5,2,3,0,5,21.7,17,7,6,19.9,122.8,39,83.8,31.7,75.8,48.5,"Woodland",2,3,"Omnivore","Omnivore","Insessorial",20,0,0,1
"Red-shouldered Hawk","RSHA","Buteo lineatus","BUTLIN","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Red-shouldered Hawk",20,40,40,0,0,0,0,0,0,0,"VertFishScav",0,0,33,33,33,0,0,0,1,0,"Accipitridae","Accipitriformes",5,2,2,1,4,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,"Woodland",1,3,"Carnivore","Vertivore","Aerial",0,0,0,0
